dap,rootdepth_cm
0,0
20.36901408,12.25352113
35.73896714,23.23943662
45.14553991,45.21126761
50.20751174,63.8028169
59.95586854,88.30985915
68.057277,118.7323944
74.45258216,137.3239437
82.81690141,146.6197183
90.51737089,156.7605634
102.8394366,153.3802817
